user_id,date,transaction_type,category,amount,payment_mode,location,notes,transaction_number
U045,2022-12-31,Expense,Food,291.0,Card,Lucknow,Doctor visit,3166
U014,2022-12-31,Expense,Travel,60.0,Cash,Lucknow,Uber to office,10805
U071,2022-12-31,Expense,Food,110.0,Bank Transfer,Jaipur,Monthly rent,4934
U169,2022-12-31,Income,Other Income,54173.0,Bank Transfer,Chennai,Monthly rent,5633
U157,2022-12-31,Expense,Travel,305.0,Cash,Kolkata,Course fee,8234
U189,2022-12-31,Expense,Food,123.0,UPI,Mumbai,Salary,9484
U032,2022-12-31,Expense,Entertainment,2215.0,Bank Transfer,Bengaluru,,9466
U128,2022-12-31,Expense,Rent,106.0,Cash,Ahmedabad,Grocery shopping via app,3693
U081,2022-12-31,Expense,Travel,1525.0,Card,Pune,Course fee,12382
U064,2022-12-31,Expense,Rent,2940.0,Cash,Jaipur,Grocery shopping,14253
U145,2022-12-31,Expense,Entertainment,252.0,Bank Transfer,Chennai,Salary,8883
U050,2022-12-30,Expense,Education,403.0,Card,Mumbai,,1896
U046,2022-12-30,Expense,Utilities,1162.0,Cash,Delhi,Paid electricity bill,11999
U171,2022-12-30,Expense,Rent,148.0,UPI,Bengaluru,Gift,8095
U129,2022-12-30,Expense,Rent,1343.0,Bank Transfer,Delhi,Monthly rent,9796
U093,2022-12-30,Expense,Utilities,665.0,Cash,Bengaluru,Netflix subscription,10595
U120,2022-12-30,Income,Salary,56257.0,Bank Transfer,Pune,Uber to office,6234
U137,2022-12-30,Expense,Others,571.0,Bank Transfer,Delhi,Paid electricity bill,13378
U057,2022-12-30,Expense,Food,738.0,UPI,Jaipur,,5038
U154,2022-12-30,Expense,Others,971.0,Card,Pune,Doctor visit,10036
U092,2022-12-29,Expense,Entertainment,203.0,Bank Transfer,Jaipur,Course fee,1783
U003,2022-12-29,Expense,Rent,45.0,Card,Kolkata,Salary via app,11192
U132,2022-12-29,Expense,Food,1949.0,Card,Ahmedabad,Monthly rent,8693
U044,2022-12-29,Expense,Food,811.0,Card,Bengaluru,,3548
U166,2022-12-29,Expense,Health,669.0,UPI,Jaipur,Salary,9486
U045,2022-12-29,Expense,Education,173.0,UPI,Chennai,Dinner at resto cash,3045
U101,2022-12-29,Expense,Entertainment,256.0,UPI,Chennai,,3505
U068,2022-12-29,Expense,Rent,200.0,UPI,Jaipur,,9411
U061,2022-12-29,Expense,Entertainment,325.0,Cash,Chennai,,13687
U095,2022-12-29,Expense,Rent,198.0,Card,Jaipur,Uber to office via app,6873
U150,2022-12-29,Expense,Food,102.0,Card,Pune,Salary,5507
U099,2022-12-29,Expense,Travel,492.0,Bank Transfer,Kolkata,,10113
U015,2022-12-28,Income,Other Income,50366.0,UPI,Delhi,Uber to office,4850
U047,2022-12-28,Expense,Rent,110.0,Bank Transfer,Bengaluru,Gift,3652
